x;y;u;v;column;row
0.0000;0.0000;0.0072;-0.0120;0;0
0.0345;0.0000;0.0358;-0.0054;1;0
0.0690;0.0000;0.0674;-0.0017;2;0
0.1034;0.0000;0.1007;0.0002;3;0
0.1379;0.0000;0.1350;0.0011;4;0
0.1724;0.0000;0.1698;0.0016;5;0
0.2069;0.0000;0.2047;0.0021;6;0
0.2414;0.0000;0.2396;0.0026;7;0
0.2759;0.0000;0.2744;0.0031;8;0
0.3103;0.0000;0.3091;0.0038;9;0
0.3448;0.0000;0.3437;0.0045;10;0
0.3793;0.0000;0.3782;0.0052;11;0
0.4138;0.0000;0.4126;0.0058;12;0
0.4483;0.0000;0.4471;0.0064;13;0
0.4828;0.0000;0.4816;0.0069;14;0
0.5172;0.0000;0.5161;0.0073;15;0
0.5517;0.0000;0.5506;0.0076;16;0
0.5862;0.0000;0.5851;0.0079;17;0
0.6207;0.0000;0.6196;0.0081;18;0
0.6552;0.0000;0.6541;0.0084;19;0
0.6897;0.0000;0.6885;0.0086;20;0
0.7241;0.0000;0.7229;0.0088;21;0
0.7586;0.0000;0.7572;0.0089;22;0
0.7931;0.0000;0.7915;0.0088;23;0
0.8276;0.0000;0.8258;0.0086;24;0
0.8621;0.0000;0.8602;0.0082;25;0
0.8966;0.0000;0.8946;0.0076;26;0
0.9310;0.0000;0.9292;0.0071;27;0
0.9655;0.0000;0.9637;0.0068;28;0
1.0000;0.0000;0.9982;0.0073;29;0
0.0000;0.0526;0.0082;0.0411;0;1
0.0345;0.0526;0.0366;0.0476;1;1
0.0690;0.0526;0.0680;0.0510;2;1
0.1034;0.0526;0.1011;0.0526;3;1
0.1379;0.0526;0.1354;0.0534;4;1
0.1724;0.0526;0.1701;0.0538;5;1
0.2069;0.0526;0.2050;0.0540;6;1
0.2414;0.0526;0.2399;0.0544;7;1
0.2759;0.0526;0.2747;0.0549;8;1
0.3103;0.0526;0.3094;0.0554;9;1
0.3448;0.0526;0.3440;0.0561;10;1
0.3793;0.0526;0.3785;0.0567;11;1
0.4138;0.0526;0.4130;0.0573;12;1
0.4483;0.0526;0.4475;0.0578;13;1
0.4828;0.0526;0.4820;0.0583;14;1
0.5172;0.0526;0.5165;0.0587;15;1
0.5517;0.0526;0.5510;0.0590;16;1
0.5862;0.0526;0.5855;0.0593;17;1
0.6207;0.0526;0.6200;0.0596;18;1
0.6552;0.0526;0.6545;0.0598;19;1
0.6897;0.0526;0.6889;0.0601;20;1
0.7241;0.0526;0.7232;0.0603;21;1
0.7586;0.0526;0.7575;0.0604;22;1
0.7931;0.0526;0.7918;0.0604;23;1
0.8276;0.0526;0.8261;0.0602;24;1
0.8621;0.0526;0.8605;0.0598;25;1
0.8966;0.0526;0.8950;0.0592;26;1
0.9310;0.0526;0.9295;0.0586;27;1
0.9655;0.0526;0.9641;0.0583;28;1
1.0000;0.0526;0.9986;0.0588;29;1
0.0000;0.1053;0.0087;0.0938;0;2
0.0345;0.1053;0.0369;0.1000;1;2
