x;y;u;v;column;row
0.0000;0.0000;-0.0009;0.0011;0;0
0.0345;0.0000;0.0340;0.0010;1;0
0.0690;0.0000;0.0689;0.0015;2;0
0.1034;0.0000;0.1037;0.0023;3;0
0.1379;0.0000;0.1384;0.0029;4;0
0.1724;0.0000;0.1730;0.0033;5;0
0.2069;0.0000;0.2075;0.0035;6;0
0.2414;0.0000;0.2419;0.0035;7;0
0.2759;0.0000;0.2762;0.0034;8;0
0.3103;0.0000;0.3106;0.0032;9;0
0.3448;0.0000;0.3449;0.0030;10;0
0.3793;0.0000;0.3793;0.0028;11;0
0.4138;0.0000;0.4137;0.0027;12;0
0.4483;0.0000;0.4481;0.0027;13;0
0.4828;0.0000;0.4826;0.0028;14;0
0.5172;0.0000;0.5171;0.0029;15;0
0.5517;0.0000;0.5517;0.0031;16;0
0.5862;0.0000;0.5862;0.0032;17;0
0.6207;0.0000;0.6208;0.0033;18;0
0.6552;0.0000;0.6553;0.0034;19;0
0.6897;0.0000;0.6898;0.0033;20;0
0.7241;0.0000;0.7242;0.0031;21;0
0.7586;0.0000;0.7587;0.0029;22;0
0.7931;0.0000;0.7931;0.0026;23;0
0.8276;0.0000;0.8276;0.0023;24;0
0.8621;0.0000;0.8622;0.0019;25;0
0.8966;0.0000;0.8968;0.0014;26;0
0.9310;0.0000;0.9316;0.0008;27;0
0.9655;0.0000;0.9665;-0.0002;28;0
1.0000;0.0000;1.0014;-0.0020;29;0
0.0000;0.0526;-0.0002;0.0526;0;1
0.0345;0.0526;0.0345;0.0524;1;1
0.0690;0.0526;0.0692;0.0528;2;1
0.1034;0.0526;0.1040;0.0535;3;1
0.1379;0.0526;0.1386;0.0542;4;1
0.1724;0.0526;0.1732;0.0547;5;1
0.2069;0.0526;0.2076;0.0549;6;1
0.2414;0.0526;0.2419;0.0550;7;1
0.2759;0.0526;0.2762;0.0550;8;1
0.3103;0.0526;0.3105;0.0549;9;1
0.3448;0.0526;0.3448;0.0547;10;1
0.3793;0.0526;0.3792;0.0547;11;1
0.4138;0.0526;0.4135;0.0546;12;1
0.4483;0.0526;0.4480;0.0547;13;1
0.4828;0.0526;0.4824;0.0548;14;1
0.5172;0.0526;0.5169;0.0549;15;1
0.5517;0.0526;0.5515;0.0551;16;1
0.5862;0.0526;0.5860;0.0552;17;1
0.6207;0.0526;0.6205;0.0553;18;1
0.6552;0.0526;0.6550;0.0552;19;1
0.6897;0.0526;0.6895;0.0551;20;1
0.7241;0.0526;0.7239;0.0549;21;1
