x;y;u;v;column;row
0.0000;0.0000;0.0015;0.0079;0;0
0.0345;0.0000;0.0356;0.0086;1;0
0.0690;0.0000;0.0703;0.0086;2;0
0.1034;0.0000;0.1051;0.0084;3;0
0.1379;0.0000;0.1398;0.0084;4;0
0.1724;0.0000;0.1744;0.0086;5;0
0.2069;0.0000;0.2088;0.0090;6;0
0.2414;0.0000;0.2430;0.0094;7;0
0.2759;0.0000;0.2772;0.0098;8;0
0.3103;0.0000;0.3114;0.0101;9;0
0.3448;0.0000;0.3456;0.0102;10;0
0.3793;0.0000;0.3800;0.0101;11;0
0.4138;0.0000;0.4144;0.0098;12;0
0.4483;0.0000;0.4490;0.0094;13;0
0.4828;0.0000;0.4835;0.0089;14;0
0.5172;0.0000;0.5181;0.0084;15;0
0.5517;0.0000;0.5527;0.0079;16;0
0.5862;0.0000;0.5871;0.0074;17;0
0.6207;0.0000;0.6216;0.0070;18;0
0.6552;0.0000;0.6559;0.0066;19;0
0.6897;0.0000;0.6903;0.0062;20;0
0.7241;0.0000;0.7247;0.0057;21;0
0.7586;0.0000;0.7592;0.0049;22;0
0.7931;0.0000;0.7940;0.0038;23;0
0.8276;0.0000;0.8288;0.0025;24;0
0.8621;0.0000;0.8639;0.0010;25;0
0.8966;0.0000;0.8988;-0.0002;26;0
0.9310;0.0000;0.9333;-0.0003;27;0
0.9655;0.0000;0.9668;0.0016;28;0
1.0000;0.0000;0.9982;0.0075;29;0
0.0000;0.0526;0.0022;0.0589;0;1
0.0345;0.0526;0.0361;0.0595;1;1
0.0690;0.0526;0.0706;0.0595;2;1
0.1034;0.0526;0.1052;0.0593;3;1
0.1379;0.0526;0.1399;0.0593;4;1
0.1724;0.0526;0.1743;0.0594;5;1
0.2069;0.0526;0.2087;0.0596;6;1
0.2414;0.0526;0.2430;0.0599;7;1
0.2759;0.0526;0.2772;0.0601;8;1
0.3103;0.0526;0.3115;0.0601;9;1
0.3448;0.0526;0.3458;0.0600;10;1
0.3793;0.0526;0.3803;0.0596;11;1
0.4138;0.0526;0.4148;0.0591;12;1
0.4483;0.0526;0.4494;0.0585;13;1
0.4828;0.0526;0.4841;0.0579;14;1
0.5172;0.0526;0.5187;0.0573;15;1
0.5517;0.0526;0.5532;0.0568;16;1
0.5862;0.0526;0.5877;0.0565;17;1
0.6207;0.0526;0.6220;0.0563;18;1
0.6552;0.0526;0.6563;0.0562;19;1
0.6897;0.0526;0.6906;0.0561;20;1
0.7241;0.0526;0.7249;0.0560;21;1
0.7586;0.0526;0.7593;0.0557;22;1
0.7931;0.0526;0.7938;0.0551;23;1
0.8276;0.0526;0.8286;0.0542;24;1
0.8621;0.0526;0.8635;0.0531;25;1
0.8966;0.0526;0.8984;0.0522;26;1
0.9310;0.0526;0.9330;0.0521;27;1
0.9655;0.0526;0.9665;0.0539;28;1
1.0000;0.0526;0.9981;0.0592;29;1
0.0000;0.1053;0.0026;0.1103;0;2
0.0345;0.1053;0.0363;0.1110;1;2
0.0690;0.1053;0.0706;0.1110;2;2
0.1034;0.1053;0.1052;0.1110;3;2
0.1379;0.1053;0.1397;0.1110;4;2
0.1724;0.1053;0.1742;0.1111;5;2
0.2069;0.1053;0.2085;0.1113;6;2
0.2414;0.1053;0.2428;0.1114;7;2
0.2759;0.1053;0.2771;0.1115;8;2
0.3103;0.1053;0.3114;0.1114;9;2
0.3448;0.1053;0.3458;0.1110;10;2
0.3793;0.1053;0.3804;0.1105;11;2
0.4138;0.1053;0.4150;0.1098;12;2
0.4483;0.1053;0.4496;0.1090;13;2
0.4828;0.1053;0.4843;0.1083;14;2
0.5172;0.1053;0.5190;0.1076;15;2
0.5517;0.1053;0.5535;0.1071;16;2
0.5862;0.1053;0.5880;0.1068;17;2
0.6207;0.1053;0.6223;0.1067;18;2
0.6552;0.1053;0.6565;0.1068;19;2
0.6897;0.1053;0.6907;0.1070;20;2
0.7241;0.1053;0.7249;0.1071;21;2
0.7586;0.1053;0.7592;0.1071;22;2
0.7931;0.1053;0.7937;0.1068;23;2
0.8276;0.1053;0.8284;0.1062;24;2
0.8621;0.1053;0.8633;0.1053;25;2
0.8966;0.1053;0.8982;0.1044;26;2
0.9310;0.1053;0.9328;0.1042;27;2
0.9655;0.1053;0.9665;0.1057;28;2
1.0000;0.1053;0.9983;0.1104;29;2
0.0000;0.1579;0.0026;0.1620;0;3
0.0345;0.1579;0.0363;0.1627;1;3
0.0690;0.1579;0.0705;0.1628;2;3
0.1034;0.1579;0.1050;0.1629;3;3
0.1379;0.1579;0.1395;0.1629;4;3
0.1724;0.1579;0.1739;0.1631;5;3
0.2069;0.1579;0.2082;0.1633;6;3
0.2414;0.1579;0.2425;0.1634;7;3
0.2759;0.1579;0.2768;0.1634;8;3
0.3103;0.1579;0.3112;0.1632;9;3
0.3448;0.1579;0.3457;0.1627;10;3
0.3793;0.1579;0.3803;0.1621;11;3
0.4138;0.1579;0.4149;0.1612;12;3
0.4483;0.1579;0.4497;0.1603;13;3
0.4828;0.1579;0.4844;0.1595;14;3
0.5172;0.1579;0.5190;0.1587;15;3
0.5517;0.1579;0.5536;0.1582;16;3
0.5862;0.1579;0.5881;0.1579;17;3
0.6207;0.1579;0.6224;0.1579;18;3
0.6552;0.1579;0.6566;0.1581;19;3
0.6897;0.1579;0.6907;0.1584;20;3
0.7241;0.1579;0.7249;0.1588;21;3
0.7586;0.1579;0.7591;0.1589;22;3
0.7931;0.1579;0.7936;0.1588;23;3
0.8276;0.1579;0.8283;0.1583;24;3
0.8621;0.1579;0.8632;0.1575;25;3
0.8966;0.1579;0.8981;0.1566;26;3
0.9310;0.1579;0.9328;0.1562;27;3
0.9655;0.1579;0.9666;0.1573;28;3
1.0000;0.1579;0.9987;0.1614;29;3
0.0000;0.2105;0.0024;0.2137;0;4
0.0345;0.2105;0.0361;0.2144;1;4
0.0690;0.2105;0.0703;0.2146;2;4
0.1034;0.2105;0.1048;0.2148;3;4
0.1379;0.2105;0.1392;0.2149;4;4
0.1724;0.2105;0.1736;0.2152;5;4
0.2069;0.2105;0.2079;0.2154;6;4
0.2414;0.2105;0.2422;0.2156;7;4
0.2759;0.2105;0.2765;0.2155;8;4
0.3103;0.2105;0.3109;0.2153;9;4
0.3448;0.2105;0.3455;0.2147;10;4
0.3793;0.2105;0.3801;0.2140;11;4
0.4138;0.2105;0.4148;0.2130;12;4
0.4483;0.2105;0.4495;0.2120;13;4
0.4828;0.2105;0.4843;0.2111;14;4
0.5172;0.2105;0.5190;0.2103;15;4
0.5517;0.2105;0.5535;0.2098;16;4
0.5862;0.2105;0.5880;0.2095;17;4
0.6207;0.2105;0.6223;0.2095;18;4
0.6552;0.2105;0.6564;0.2098;19;4
0.6897;0.2105;0.6905;0.2103;20;4
0.7241;0.2105;0.7247;0.2107;21;4
0.7586;0.2105;0.7589;0.2110;22;4
0.7931;0.2105;0.7933;0.2110;23;4
0.8276;0.2105;0.8280;0.2106;24;4
0.8621;0.2105;0.8630;0.2098;25;4
0.8966;0.2105;0.8980;0.2089;26;4
0.9310;0.2105;0.9328;0.2083;27;4
0.9655;0.2105;0.9667;0.2090;28;4
1.0000;0.2105;0.9990;0.2126;29;4
0.0000;0.2632;0.0022;0.2653;0;5
0.0345;0.2632;0.0359;0.2660;1;5
0.0690;0.2632;0.0701;0.2663;2;5
0.1034;0.2632;0.1045;0.2665;3;5
0.1379;0.2632;0.1389;0.2668;4;5
0.1724;0.2632;0.1733;0.2672;5;5
0.2069;0.2632;0.2076;0.2675;6;5
0.2414;0.2632;0.2419;0.2676;7;5
0.2759;0.2632;0.2762;0.2676;8;5
0.3103;0.2632;0.3106;0.2673;9;5
0.3448;0.2632;0.3452;0.2667;10;5
0.3793;0.2632;0.3798;0.2659;11;5
0.4138;0.2632;0.4146;0.2649;12;5
0.4483;0.2632;0.4493;0.2639;13;5
0.4828;0.2632;0.4841;0.2629;14;5
0.5172;0.2632;0.5188;0.2621;15;5
0.5517;0.2632;0.5534;0.2615;16;5
0.5862;0.2632;0.5878;0.2613;17;5
0.6207;0.2632;0.6221;0.2614;18;5
0.6552;0.2632;0.6562;0.2618;19;5
0.6897;0.2632;0.6903;0.2623;20;5
0.7241;0.2632;0.7244;0.2629;21;5
0.7586;0.2632;0.7586;0.2633;22;5
0.7931;0.2632;0.7931;0.2634;23;5
0.8276;0.2632;0.8278;0.2631;24;5
0.8621;0.2632;0.8628;0.2623;25;5
0.8966;0.2632;0.8978;0.2612;26;5
0.9310;0.2632;0.9327;0.2605;27;5
0.9655;0.2632;0.9668;0.2609;28;5
1.0000;0.2632;0.9992;0.2640;29;5
0.0000;0.3158;0.0018;0.3169;0;6
0.0345;0.3158;0.0356;0.3176;1;6
0.0690;0.3158;0.0699;0.3179;2;6
0.1034;0.3158;0.1043;0.3182;3;6
0.1379;0.3158;0.1387;0.3185;4;6
0.1724;0.3158;0.1730;0.3189;5;6
0.2069;0.3158;0.2073;0.3193;6;6
0.2414;0.3158;0.2416;0.3195;7;6
0.2759;0.3158;0.2759;0.3195;8;6
0.3103;0.3158;0.3104;0.3192;9;6
0.3448;0.3158;0.3449;0.3186;10;6
0.3793;0.3158;0.3796;0.3178;11;6
0.4138;0.3158;0.4143;0.3168;12;6
0.4483;0.3158;0.4491;0.3157;13;6
0.4828;0.3158;0.4839;0.3148;14;6
0.5172;0.3158;0.5186;0.3140;15;6
0.5517;0.3158;0.5531;0.3134;16;6
0.5862;0.3158;0.5876;0.3133;17;6
0.6207;0.3158;0.6218;0.3134;18;6
0.6552;0.3158;0.6560;0.3139;19;6
0.6897;0.3158;0.6901;0.3145;20;6
0.7241;0.3158;0.7242;0.3152;21;6
0.7586;0.3158;0.7584;0.3157;22;6
0.7931;0.3158;0.7928;0.3159;23;6
0.8276;0.3158;0.8275;0.3156;24;6
0.8621;0.3158;0.8625;0.3148;25;6
0.8966;0.3158;0.8977;0.3137;26;6
0.9310;0.3158;0.9327;0.3128;27;6
0.9655;0.3158;0.9669;0.3130;28;6
1.0000;0.3158;0.9994;0.3157;29;6
0.0000;0.3684;0.0015;0.3686;0;7
0.0345;0.3684;0.0353;0.3691;1;7
0.0690;0.3684;0.0696;0.3694;2;7
0.1034;0.3684;0.1041;0.3697;3;7
0.1379;0.3684;0.1385;0.3701;4;7
0.1724;0.3684;0.1728;0.3706;5;7
0.2069;0.3684;0.2071;0.3710;6;7
0.2414;0.3684;0.2414;0.3713;7;7
0.2759;0.3684;0.2757;0.3713;8;7
0.3103;0.3684;0.3101;0.3711;9;7
0.3448;0.3684;0.3447;0.3705;10;7
0.3793;0.3684;0.3793;0.3697;11;7
0.4138;0.3684;0.4141;0.3687;12;7
0.4483;0.3684;0.4489;0.3676;13;7
0.4828;0.3684;0.4836;0.3666;14;7
0.5172;0.3684;0.5183;0.3659;15;7
0.5517;0.3684;0.5529;0.3654;16;7
0.5862;0.3684;0.5873;0.3653;17;7
0.6207;0.3684;0.6216;0.3655;18;7
0.6552;0.3684;0.6557;0.3661;19;7
0.6897;0.3684;0.6898;0.3668;20;7
0.7241;0.3684;0.7239;0.3676;21;7
0.7586;0.3684;0.7581;0.3682;22;7
0.7931;0.3684;0.7926;0.3684;23;7
0.8276;0.3684;0.8273;0.3682;24;7
0.8621;0.3684;0.8624;0.3674;25;7
0.8966;0.3684;0.8976;0.3663;26;7
0.9310;0.3684;0.9326;0.3654;27;7
0.9655;0.3684;0.9669;0.3654;28;7
1.0000;0.3684;0.9996;0.3679;29;7
0.0000;0.4211;0.0011;0.4204;0;8
0.0345;0.4211;0.0350;0.4208;1;8
0.0690;0.4211;0.0694;0.4210;2;8
0.1034;0.4211;0.1039;0.4213;3;8
0.1379;0.4211;0.1383;0.4217;4;8
0.1724;0.4211;0.1726;0.4222;5;8
0.2069;0.4211;0.2069;0.4227;6;8
0.2414;0.4211;0.2411;0.4230;7;8
0.2759;0.4211;0.2755;0.4231;8;8
0.3103;0.4211;0.3099;0.4228;9;8
0.3448;0.4211;0.3444;0.4223;10;8
0.3793;0.4211;0.3791;0.4215;11;8
0.4138;0.4211;0.4139;0.4205;12;8
0.4483;0.4211;0.4487;0.4195;13;8
0.4828;0.4211;0.4834;0.4186;14;8
0.5172;0.4211;0.5181;0.4178;15;8
0.5517;0.4211;0.5527;0.4174;16;8
0.5862;0.4211;0.5871;0.4174;17;8
0.6207;0.4211;0.6214;0.4177;18;8
0.6552;0.4211;0.6555;0.4184;19;8
0.6897;0.4211;0.6896;0.4192;20;8
0.7241;0.4211;0.7237;0.4201;21;8
0.7586;0.4211;0.7579;0.4208;22;8
0.7931;0.4211;0.7924;0.4211;23;8
0.8276;0.4211;0.8272;0.4209;24;8
0.8621;0.4211;0.8623;0.4202;25;8
