x;y;u;v;column;row
0.0000;0.0000;0.0013;0.0082;0;0
0.0345;0.0000;0.0365;0.0084;1;0
0.0690;0.0000;0.0713;0.0088;2;0
0.1034;0.0000;0.1057;0.0093;3;0
0.1379;0.0000;0.1400;0.0098;4;0
0.1724;0.0000;0.1743;0.0103;5;0
0.2069;0.0000;0.2085;0.0106;6;0
0.2414;0.0000;0.2427;0.0108;7;0
0.2759;0.0000;0.2770;0.0109;8;0
0.3103;0.0000;0.3113;0.0108;9;0
0.3448;0.0000;0.3457;0.0106;10;0
0.3793;0.0000;0.3801;0.0103;11;0
0.4138;0.0000;0.4146;0.0099;12;0
0.4483;0.0000;0.4490;0.0095;13;0
0.4828;0.0000;0.4835;0.0090;14;0
0.5172;0.0000;0.5179;0.0085;15;0
0.5517;0.0000;0.5524;0.0080;16;0
0.5862;0.0000;0.5869;0.0076;17;0
0.6207;0.0000;0.6213;0.0073;18;0
0.6552;0.0000;0.6558;0.0070;19;0
0.6897;0.0000;0.6903;0.0067;20;0
0.7241;0.0000;0.7248;0.0065;21;0
0.7586;0.0000;0.7594;0.0063;22;0
0.7931;0.0000;0.7939;0.0060;23;0
0.8276;0.0000;0.8284;0.0055;24;0
0.8621;0.0000;0.8629;0.0046;25;0
0.8966;0.0000;0.8972;0.0031;26;0
0.9310;0.0000;0.9313;0.0006;27;0
0.9655;0.0000;0.9651;-0.0034;28;0
1.0000;0.0000;0.9984;-0.0093;29;0
0.0000;0.0526;0.0013;0.0597;0;1
0.0345;0.0526;0.0364;0.0598;1;1
0.0690;0.0526;0.0710;0.0601;2;1
0.1034;0.0526;0.1054;0.0606;3;1
0.1379;0.0526;0.1397;0.0611;4;1
0.1724;0.0526;0.1739;0.0615;5;1
0.2069;0.0526;0.2081;0.0618;6;1
0.2414;0.0526;0.2424;0.0620;7;1
0.2759;0.0526;0.2767;0.0621;8;1
0.3103;0.0526;0.3110;0.0620;9;1
0.3448;0.0526;0.3454;0.0619;10;1
0.3793;0.0526;0.3799;0.0616;11;1
0.4138;0.0526;0.4143;0.0612;12;1
0.4483;0.0526;0.4488;0.0608;13;1
0.4828;0.0526;0.4833;0.0603;14;1
0.5172;0.0526;0.5178;0.0598;15;1
0.5517;0.0526;0.5523;0.0593;16;1
0.5862;0.0526;0.5868;0.0588;17;1
0.6207;0.0526;0.6213;0.0584;18;1
0.6552;0.0526;0.6558;0.0581;19;1
0.6897;0.0526;0.6904;0.0578;20;1
0.7241;0.0526;0.7249;0.0575;21;1
0.7586;0.0526;0.7594;0.0573;22;1
0.7931;0.0526;0.7939;0.0571;23;1
0.8276;0.0526;0.8284;0.0567;24;1
0.8621;0.0526;0.8627;0.0561;25;1
0.8966;0.0526;0.8969;0.0550;26;1
0.9310;0.0526;0.9308;0.0531;27;1
0.9655;0.0526;0.9643;0.0500;28;1
1.0000;0.0526;0.9972;0.0453;29;1
0.0000;0.1053;0.0012;0.1111;0;2
0.0345;0.1053;0.0361;0.1111;1;2
0.0690;0.1053;0.0707;0.1114;2;2
0.1034;0.1053;0.1051;0.1118;3;2
0.1379;0.1053;0.1394;0.1123;4;2
0.1724;0.1053;0.1736;0.1127;5;2
